date,adsStarted,activeStarted,inactiveStarted,pageCount,topPages,topTags,sampleAds
2026-06-24,470,441,29,4,Go Amaze(342); Amaze Go GO！(45); Amaze GO！(41); Arrows GO GO(28),uncategorized(275); emoji_heavy(195); relax(195); puzzle_core(191); challenge(176); urgency(176),1358649972812765|1559227922487075|1585076659664443|936538892739913|1393941389250174|1656008732181860|848526934681177|1335588008752070|2084390362143255|2090466955237414
2026-06-25,172,168,4,4,Amaze GO！(84); Go Amaze(53); Arrow Go(18); Amaze Go GO！(9),emoji_heavy(140); relax(140); puzzle_core(136); urgency(96); challenge(95); arrow_pin(91),1015133350998498|1679651073316258|824332550610348|1825458138894346|2506664933090078|975577368633732|993531976832052|3112374918961929|1337328555039795|982940427975894
2026-06-26,170,170,0,2,Go Amaze(163); Amaze GO！(6); Arrows GO！(1),emoji_heavy(154); puzzle_core(154); relax(154); challenge(149); urgency(149); brand_amaze(132),1003974545741477|1004906151950843|1005542625358508|1005725585421309|1007642815342085|1008218988279192|1008878741522397|1010140931715700|1013079855016915|1015792707626148
2026-06-27,34,33,1,4,Go Amaze(29); Amaze GO！(3); Amaze Go GO！(1); Arrows GO GO(1),emoji_heavy(26); relax(26); puzzle_core(25); challenge(24); urgency(24); brand_amaze(15),1381596323840326|36557834280497987|1040780398894813|1049925371041342|1334018728696329|1343128517153748|1371700948203195|1520723293182984|1533622328774570|1539659644529586
2026-06-28,28,27,1,3,Go Amaze(26); Amaze Go GO！(1); Arrows GO！(1),challenge(19); emoji_heavy(19); puzzle_core(19); relax(19); urgency(19); arrow_pin(13),2810842045941544|1480669760036712|1023255630215115|1048168721116169|1139834775031175|1319872759712099|1386145346717456|1516042729994176|1552393822995927|1562660788627593
2026-06-29,1238,1206,32,4,Arrows GO！(375); Amaze GO！(335); Go Amaze(320); Go Arrow(146),emoji_heavy(1110); puzzle_core(1075); urgency(1036); relax(1027); challenge(963); brand_amaze(600),1039481485626329|1042079071589032|1296467455900319|1305426538312355|1339960854872156|1340691228034157|1372843934744513|1381916870418105|1394054125907872|1529314265350609
2026-06-30,670,670,0,4,Arrows GO！(299); Go Amaze(141); Go Arrow(119); Amaze GO！(63),emoji_heavy(572); puzzle_core(544); urgency(542); relax(504); challenge(485); arrow_pin(412),1371230358203764|1534781588027460|1966727967297676|2011456539744166|2388878901636749|27581202964834027|3917422141887781|1568950331519005|2219054532193779|1366547235418474
2026-07-01,718,676,42,4,Go Amaze(336); Amaze GO！(257); Go Arrow(33); Arrows GO！(30),emoji_heavy(582); puzzle_core(572); relax(567); urgency(551); challenge(538); brand_amaze(376),1028017052932090|1336774951889793|1365520245486485|1727941288236975|1742641683598502|2020439188576572|2219698992215177|2223928448383696|2824865227882007|3231402293733533
2026-07-02,1340,1293,47,4,Amaze GO！(692); Arrows GO！(286); Go Amaze(228); Go Arrow(68),puzzle_core(1209); emoji_heavy(1207); relax(1150); challenge(1148); urgency(1147); brand_amaze(830),1020057633904563|1032764052678340|1032870435988243|1040711375578472|1047320854361736|1050802824150113|1248600587218552|1435078615111745|1571024547929467|1671612454110534
2026-07-03,95,95,0,4,Amaze GO！(37); Arrows GO！(35); Go Arrow(9); Go Amaze(6),emoji_heavy(87); puzzle_core(86); urgency(83); challenge(82); relax(76); arrow_pin(42),1382986523723931|800717969698080|1283458230530766|1311553871139661|1555200279322073|1576552927435642|1689475485607577|4500037606938516|989175770774128|994803573322198
