category,reason,occurrence_count,kind,sha256,source_representative,output_file,clip_top,clip_margin,clip_arrows,clip_other_gameplay,clip_live_action,clip_non_game,vision_faces,vision_humans
02_other_gameplay,strong_other_gameplay_clip,1,video,7f3d806d85fa2651e635cdf42890beab421d1eacbccfa934d1e0a61ba1a9ca41,page_899629066577253/videos/ad_1939801866719596_asset_1001195559194070_hd.mp4,02_other_gameplay/x0001__page_899629066577253__ad_1939801866719596__sha_7f3d806d85fa__ad_1939801866719596_asset_1001195559194070_hd.mp4,other_gameplay,0.22451233863830566,0.29131537675857544,0.5158277153968811,0.07891267538070679,0.11394423246383667,0,0
01_arrows,arrow_maze_or_clip,1,video,0e6101e98baea731d96a71de87531df532d1199588865198d7f7b6eb3b3820e2,page_899629066577253/videos/ad_1946155612723025_asset_1495397575184847_hd.mp4,01_arrows/x0001__page_899629066577253__ad_1946155612723025__sha_0e6101e98bae__ad_1946155612723025_asset_1495397575184847_hd.mp4,arrows,0.12491434812545776,0.5246646404266357,0.399750292301178,0.01988087221980095,0.05570416525006294,0,0
01_arrows,arrow_maze_or_clip,1,video,e1e5edd19fe0a6c86c1ef14ebf0e04663cb933489255a5336d7aaa3a099c063a,page_899629066577253/videos/ad_1947322065978943_asset_925023630418925_hd.mp4,01_arrows/x0001__page_899629066577253__ad_1947322065978943__sha_e1e5edd19fe0__ad_1947322065978943_asset_925023630418925_hd.mp4,arrows,0.6047660708427429,0.7568002939224243,0.1520342230796814,0.023359237238764763,0.0678061842918396,0,0
01_arrows,arrow_maze_or_clip,1,video,df4458d69eaf36816bc6c586fd75db8a55b663e6769906e35a9c62ea19efc3fa,page_899629066577253/videos/ad_1947901102532058_asset_1021530160252675_hd.mp4,01_arrows/x0001__page_899629066577253__ad_1947901102532058__sha_df4458d69eaf__ad_1947901102532058_asset_1021530160252675_hd.mp4,arrows,0.5966364592313766,0.7273196578025818,0.13068319857120514,0.03509692847728729,0.1069001853466034,0,0
02_other_gameplay,strong_other_gameplay_clip,1,video,d50550e2f54dcf63e8fad129e2c440d3ada59dfb6cd40012f2433afbe384ea6d,page_899629066577253/videos/ad_1949703565709981_asset_1339609171481503_hd.mp4,02_other_gameplay/x0001__page_899629066577253__ad_1949703565709981__sha_d50550e2f54d__ad_1949703565709981_asset_1339609171481503_hd.mp4,other_gameplay,0.39106684923171997,0.24406367540359497,0.6351305246353149,0.057970065623521805,0.06283574551343918,0,0
04_non_game_or_uncertain,low_confidence_or_non_game,1,video,5197076e4cdf21c65669bef99f92efbde306117af7bda79370752023d82e6917,page_899629066577253/videos/ad_1952410078777013_asset_1558014785703866_hd.mp4,04_non_game_or_uncertain/x0001__page_899629066577253__ad_1952410078777013__sha_5197076e4cdf__ad_1952410078777013_asset_1558014785703866_hd.mp4,arrows,0.016547441482543945,0.37481382489204407,0.3582663834095001,0.13355205953121185,0.13336776196956635,0,0
01_arrows,arrow_maze_or_clip,1,video,1e7983d15c795a7c367a7dc377ed135b89fe2dc9f4be731c11ffa782583ad40f,page_899629066577253/videos/ad_1952534232376869_asset_2015632582355429_hd.mp4,01_arrows/x0001__page_899629066577253__ad_1952534232376869__sha_1e7983d15c79__ad_1952534232376869_asset_2015632582355429_hd.mp4,arrows,0.3972165435552597,0.5708049535751343,0.17358841001987457,0.15028119087219238,0.10532545298337936,0,0
01_arrows,arrow_maze_or_clip,1,video,d49fcf640e561cd07907a9c8e97dd21d30897d2518479cc5b8cc14d6bffb4fa9,page_899629066577253/videos/ad_1957098484829619_asset_1976042166372182_hd.mp4,01_arrows/x0001__page_899629066577253__ad_1957098484829619__sha_d49fcf640e56__ad_1957098484829619_asset_1976042166372182_hd.mp4,arrows,0.250790536403656,0.5426058173179626,0.29181528091430664,0.094781294465065,0.07079752534627914,0,0
03_live_action_real_people,vision_or_live_action,1,video,017ebb3b258129c5761dbdd78382fe1bf5cf04a1e34470dd358f108ac1bfdd98,page_899629066577253/videos/ad_1965909294083442_asset_2116257972350911_hd.mp4,03_live_action_real_people/x0001__page_899629066577253__ad_1965909294083442__sha_017ebb3b2581__ad_1965909294083442_asset_2116257972350911_hd.mp4,live_action,0.34842850267887115,0.19394640624523163,0.17472665011882782,0.5423749089241028,0.088951975107193,0,0
01_arrows,arrow_maze_or_clip,1,video,eb559397af4617d678ff6315052e15742094e83b54fcf78ed02fbdea5005e80e,page_899629066577253/videos/ad_1969733257248918_asset_4296904627192886_hd.mp4,01_arrows/x0001__page_899629066577253__ad_1969733257248918__sha_eb559397af46__ad_1969733257248918_asset_4296904627192886_hd.mp4,arrows,0.7188644409179688,0.8331730365753174,0.11430859565734863,0.01327021885663271,0.03924811631441116,0,0
